Latitude,Longitude,Species,Count,Date
21.28514725,-158.0597058,Brown Booby,1,2022-10-18
21.28463967,-157.972955,Brown Booby,1,2021-02-02
21.28402542,-157.8765695,Brown Booby,3,2020-09-03
21.29324921,-157.9054178,Brown Booby,1,2019-10-13
21.29318633,-157.8957787,Brown Booby,1,2020-07-04
21.29143089,-157.6548163,Wandering Tattler,1,2020-04-26
21.30299573,-158.0210302,Saffron Finch,1,2022-02-05
21.30061708,-157.674012,Pacific Golden-Plover,1,2019-09-27
21.31137897,-157.9149245,Pacific Golden-Plover,1,2023-06-17
21.30995004,-157.7124877,White-rumped Shama,1,2022-12-20
21.31941647,-157.7702492,Red-billed Leiothrix,1,2022-09-04
21.31905658,-157.7220488,Red-billed Leiothrix,1,2021-05-13
21.32771504,-157.6737683,Great Frigatebird,1,2021-10-14
21.33976551,-158.1365023,Brown Booby,2,2023-10-04
21.33896252,-157.9918638,Gray Francolin,1,2019-01-21
21.34805366,-158.0014449,Barn Owl,1,2019-04-11
21.34679401,-157.808592,Red-billed Leiothrix,1,2021-08-31
21.34651563,-157.7700231,Red-billed Leiothrix,1,2019-08-10
21.35758337,-158.0881771,Common Myna,1,2022-04-28
21.35629332,-157.8760198,Pacific Golden-Plover,1,2019-01-15
21.35589547,-157.8181619,White-rumped Shama,1,2019-09-19
21.35540624,-157.7506623,Red-tailed Tropicbird,1,2021-01-15
21.36436725,-157.7409425,Yellow-fronted Canary,1,2023-02-08
21.36422131,-157.7216567,Scaly-breasted Munia,1,2022-09-19
21.3754339,-158.0494848,Rose-ringed Parakeet,1,2023-02-14
21.37537891,-158.0398399,Black-necked Stilt,1,2019-02-24
21.37521131,-158.0109055,Western Cattle Egret,1,2019-01-16
21.3732543,-157.7215782,Pacific Golden-Plover,1,2023-09-14
21.38441301,-158.039781,White Tern,1,2021-12-03
21.38319712,-157.8468782,Apapane,1,2023-01-20
21.3942122,-158.1844167,Brown Booby,2,2022-05-16
21.39209636,-157.8275166,White-tailed Tropicbird,1,2022-01-26
21.39202848,-157.8178713,White-tailed Tropicbird,1,2021-05-15
21.39168124,-157.7696456,Spotted Dove,1,2023-02-23
21.40315263,-158.1650723,Erckel's Spurfowl,1,2019-02-20
21.40242537,-158.0300163,Snow Goose,2,2021-01-29
21.41228158,-158.1843163,Red Phalarope,1,2020-12-27
21.41208976,-158.1457257,Peregrine Falcon,2,2020-03-25
21.41157001,-158.0492512,Red-crowned Parrot,2,2021-12-07
21.411403,-158.0203094,Snow Goose,1,2021-01-02
21.41099449,-157.9527801,Saffron Finch,1,2023-06-27
21.41042906,-157.8659587,Pacific Golden-Plover,1,2019-12-09
21.41885113,-157.7790655,Brown Booby,1,2022-08-20
21.43030342,-158.1745669,Zebra Dove,2,2022-05-27
21.42745142,-157.7211066,Brown Booby,1,2023-10-08
21.44736656,-157.9911198,Red-crowned Parrot,2,2020-03-12
21.45763659,-158.2226683,Brown Booby,1,2019-07-05
21.46554928,-158.0102966,Rose-ringed Parakeet,1,2023-11-18
21.46543403,-157.9909953,Red-crested Cardinal,1,2022-05-01
21.46422539,-157.8076393,Peregrine Falcon,1,2023-01-21
21.47556911,-158.1936162,Common Waxbill,1,2023-03-01
21.47497609,-158.0777958,Gray Francolin,1,2022-06-22
21.47463993,-158.0198869,Red-crowned Parrot,1,2019-01-30
21.48441355,-158.1549566,Warbling White-eye,1,2023-08-27
21.48421876,-158.1163472,Erckel's Spurfowl,1,2021-07-05
21.48416768,-158.1066951,Red-crowned Parrot,1,2021-04-14
21.48384174,-158.0487824,Western Cattle Egret,1,2021-12-03
21.49319986,-158.1066399,Red-crested Cardinal,1,2023-11-16
21.51141849,-158.135491,Apapane,1,2024-02-14
21.51094278,-158.0486061,Red-masked Parakeet,1,2023-12-19
21.52092219,-158.2319872,Red Junglefowl,1,2020-03-17
21.52013964,-158.0775105,Barn Owl,1,2020-05-25
21.52008581,-158.0678561,Common Myna,2,2023-03-29
21.52003148,-158.0582017,Gray Francolin,1,2023-02-03
21.5190249,-157.8940806,Apapane,1,2021-12-26
21.5274524,-157.8071234,Sooty Tern,1,2022-03-29
21.53831265,-158.0967078,Black-crowned Night Heron,1,2019-06-27
21.53804418,-158.0484296,Short-eared Owl,1,2021-08-31
21.5379888,-158.038774,Western Cattle Egret,2,2021-11-30
21.53669332,-157.8360141,Pacific Golden-Plover,1,2022-03-09
21.55616653,-158.0579684,Java Sparrow,1,2024-01-31
21.5653083,-158.0772247,Red-crested Cardinal,1,2021-05-12
21.58416651,-158.2316438,Glaucous-winged Gull,1,2020-11-21
21.5927245,-158.1350071,Black-footed Albatross,1,2022-12-08
21.59122467,-157.8838739,Chestnut Munia,1,2019-03-11
21.63730367,-158.0284548,Warbling White-eye,1,2022-10-27
21.63683409,-157.9511588,Barn Owl,1,2023-03-18
21.24742823,-157.809393,"Brown Booby (1) 2023-04-17, Wedge-tailed Shearwater",1,2023-04-17
21.25666347,-157.8382298,"Great Frigatebird (1) 2024-02-09, Masked Booby",1,2024-02-09
21.26738912,-158.1176481,"Wedge-tailed Shearwater (1) 2021-09-19, White Tern",1,2021-09-19
21.27589264,-158.0212091,"Brown Booby (1) 2019-01-20, White Tern",1,2019-01-20
21.30264901,-157.9631898,"Brown Booby (1) 2019-01-13, White Tern",1,2019-01-13
21.30106368,-157.7318439,"Common Waxbill (1) 2022-10-17, Red-vented Bulbul",1,2022-10-17
21.30038558,-157.6450952,"Great Frigatebird (2) 2021-06-22, Masked Booby",2,2021-06-22
21.31112575,-157.8763638,"Common Myna (1) 2024-01-09, White Tern",1,2022-07-12
21.31016916,-157.7414056,"Oahu Elepaio (2) 2021-03-28, White-rumped Shama",1,2019-03-31
21.34880027,-158.1364494,"Brown Booby (3) 2023-03-30, White Tern",1,2023-03-30
21.34860058,-158.0978761,"Eurasian Skylark (1) 2019-11-02, Western Cattle Egret",1,2019-11-02
21.3645818,-157.7698723,"Common Myna (1) 2021-10-16, Java Sparrow",1,2019-05-12
21.3934471,-158.039722,"Barn Owl (1) 2019-05-20, Red-masked Parakeet",2,2021-12-05
21.39339152,-158.0300759,"Red-vented Bulbul (1) 2020-02-02, Saffron Finch",1,2020-02-02
21.39223047,-157.8468073,"Red-billed Leiothrix (1) 2021-11-26, Warbling White-eye",1,2021-11-26
21.43648389,-157.7210278,"Black Noddy (1) 2019-02-05, Brown Noddy",1,2019-02-05
21.45526118,-157.8173622,"Masked Booby (2) 2022-01-29, White-rumped Shama",1,2022-12-29
21.47446779,-157.9909331,"Japanese Bush Warbler (1) 2023-07-31, Warbling White-eye",1,2023-07-31
21.47325822,-157.8075657,"Great Frigatebird (1) 2020-01-28, Western Cattle Egret",1,2020-01-28
21.49363759,-158.1935166,"Red-vented Bulbul (1) 2023-11-17, White-rumped Shama",1,2023-11-17
21.50285349,-158.2320822,"Brown Booby (1) 2019-04-21, Masked Booby",1,2019-04-21
21.51077519,-158.0196448,"Rose-ringed Parakeet (1) 2021-08-26, White-rumped Shama",1,2021-08-26
21.52963605,-158.1643486,"Erckel's Spurfowl (1) 2022-01-22, Zebra Dove",1,2022-01-22
21.56618496,-158.2510584,"Great Frigatebird (1) 2022-01-07, Laysan Albatross",1,2022-01-07
21.56406053,-157.8744247,"Red-crested Cardinal (1) 2022-02-11, Zebra Dove",1,2022-02-11
21.58384339,-158.1640345,"Laysan Albatross (1) 2022-02-27, Sanderling",1,2022-02-27
21.62754997,-157.9125793,"Ruddy Turnstone (1) 2022-01-04, Wandering Tattler",1,2022-01-04
21.646223,-158.0090688,"Feral Mallard (1) 2022-03-23, Red-vented Bulbul",1,2022-03-23
21.66399467,-157.9606265,"Great Frigatebird (1) 2021-05-12, Red-vented Bulbul",2,2023-06-10
21.23839507,-157.8094654,"Brown Booby (1) 2021-03-20, Sooty Tern (1) 2021-03-20, White Tern",1,2021-03-20
21.26576306,-157.8477961,"Rock Pigeon (1) 2022-11-25, Wedge-tailed Shearwater (1) 2022-11-25, White Tern",1,2022-11-25
21.27492734,-157.8670007,"Brown Booby (1) 2023-01-24, Sooty Tern (1) 2023-01-24, White Tern",1,2023-01-24
21.28550839,-158.1271798,"Brown Booby (1) 2022-10-18, Wedge-tailed Shearwater (1) 2022-10-18, White Tern",1,2022-10-18
21.29238729,-157.7801135,"Red-vented Bulbul (1) 2019-03-18, Spotted Dove (1) 2019-03-18, Warbling White-eye",1,2019-03-18
21.30252957,-157.9439101,"Eurasian Skylark (1) 2019-01-20, Pacific Golden-Plover (1) 2019-01-20, Spotted Dove",1,2022-09-20
21.3125633,-158.1173791,"Brown Booby (1) 2020-04-04, Ruddy Turnstone (1) 2020-04-04, Sooty Tern",1,2020-04-04
21.3213421,-158.0691187,"Red Junglefowl (1) 2022-12-22, Red-vented Bulbul (1) 2022-12-22, Zebra Dove",1,2022-12-22
21.34889658,-158.1557362,"Brown Booby (1) 2023-02-21, Red-footed Booby (1) 2023-02-21, Sooty Tern",1,2023-02-21
21.34672523,-157.7989498,"Red-billed Leiothrix (1) 2019-09-01, Warbling White-eye (1) 2019-09-01, White-rumped Shama",1,2019-09-01
21.36687025,-158.1363436,"Common Myna (1) 2023-05-08, House Sparrow (1) 2023-05-08, Saffron Finch",1,2023-05-08
21.36558081,-157.914526,"Chestnut Munia (1) 2023-04-14, Common Waxbill (1) 2023-04-14, Pacific Golden-Plover",1,2019-11-09
21.37361491,-157.7697968,"Common Myna (2) 2023-10-24, Red Junglefowl (2) 2023-10-18, Western Cattle Egret",1,2023-10-24
21.40219736,-157.99143,"Red-crowned Parrot (1) 2019-07-23, Rose-ringed Parakeet (2) 2021-12-19, Western Cattle Egret",1,2019-10-19
21.40112966,-157.8274445,"Red-crested Cardinal (1) 2023-03-16, White-tailed Tropicbird (2) 2022-06-27, Yellow-fronted Canary",1,2023-03-16
21.42060375,-158.0491927,"Red-vented Bulbul (1) 2023-03-29, Spotted Dove (1) 2023-03-29, Zebra Dove",1,2023-03-29
21.43684661,-157.7692672,"Black Noddy (2) 2021-10-02, House Sparrow (1) 2021-09-03, Western Cattle Egret",1,2021-10-02
21.44753833,-158.0200682,"Black-crowned Night Heron (1) 2022-01-07, Common Myna (1) 2021-06-09, Rock Pigeon",1,2021-06-09
21.45745365,-158.1840649,"Common Myna (1) 2023-06-13, Red-vented Bulbul (1) 2023-06-13, Zebra Dove",1,2023-06-13
21.4567963,-158.0586089,"House Finch (1) 2021-12-19, Rose-ringed Parakeet (1) 2022-08-27, Saffron Finch",2,2022-12-03
21.46679988,-158.2515754,"Brown Booby (1) 2023-04-01, Brown Noddy (1) 2023-04-01, Wedge-tailed Shearwater",1,2023-04-01
21.46566241,-158.0295981,"Common Myna (1) 2019-02-18, Northern Mockingbird (1) 2019-02-18, Red-crested Cardinal",1,2023-04-19
21.4748082,-158.0488412,"Common Myna (2) 2023-03-29, House Finch (2) 2023-03-29, Red-vented Bulbul",2,2023-03-29
21.48469549,-158.2128715,"Common Myna (2) 2019-09-26, Indian Peafowl (2) 2019-09-26, Zebra Dove",2,2019-09-26
21.48411567,-158.097043,"Common Waxbill (2) 2021-12-11, Red-vented Bulbul (2) 2021-12-11, Zebra Dove",2,2021-12-11
21.49381902,-158.2321296,"Common Myna (3) 2022-03-20, Red-crested Cardinal (1) 2021-12-13, Saffron Finch",2,2022-03-20
21.51105221,-158.0679138,"Common Myna (1) 2021-10-23, Red-crested Cardinal (2) 2024-02-10, Spotted Dove",1,2021-10-23
21.51099774,-158.0582599,"Black Francolin (2) 2023-06-02, Eurasian Skylark (2) 2023-06-02, Gray Francolin",2,2023-06-02
21.51992124,-158.0388929,"Common Myna (1) 2022-05-16, Spotted Dove (1) 2022-05-16, Western Cattle Egret",1,2022-05-16
21.53689561,-157.8649787,"Japanese Bush Warbler (1) 2022-02-10, Red-whiskered Bulbul (1) 2022-02-10, White-tailed Tropicbird",1,2022-02-10
21.57444804,-158.0964838,"Common Myna (1) 2022-05-09, Western Cattle Egret (3) 2023-11-24, Zebra Dove",2,2023-11-24
21.60069992,-157.9514196,"Apapane (1) 2021-09-18, Common Waxbill (1) 2021-09-18, Warbling White-eye",1,2021-09-18
21.60051439,-157.9224414,"Common Myna (1) 2024-02-07, Common Waxbill (1) 2024-02-07, Zebra Dove",1,2024-02-07
21.62843706,-158.0575,"Common Myna (1) 2023-08-26, Red-crested Cardinal (1) 2023-08-26, White-tailed Tropicbird",1,2023-08-26
21.2474961,-157.8190289,"Red-footed Booby (1) 2023-07-26, Sooty Tern (1) 2024-01-18, Wedge-tailed Shearwater (2) 2023-09-06, White Tern",3,2024-01-18
21.27479643,-157.8477258,"Black Noddy (1) 2023-12-27, Brown Booby (5) 2023-12-31, Brown Noddy (1) 2019-03-01, White Tern",3,2023-12-31
21.28396082,-157.8669314,"Brown Booby (5) 2024-01-21, Sooty Tern (1) 2024-01-21, White Tern",5,2024-01-21
21.28239821,-157.654898,"Common Waxbill (1) 2021-10-17, Pacific Golden-Plover (1) 2021-10-17, Red-crested Cardinal (1) 2021-10-17, Rock Pigeon",1,2021-10-17
21.29444375,-158.1078472,"Common Myna (1) 2023-11-19, House Sparrow (1) 2023-11-19, Pacific Golden-Plover (1) 2023-11-19, Zebra Dove",1,2023-11-19
21.30347858,-158.1077928,"Red Junglefowl (1) 2023-10-13, Rock Pigeon (1) 2023-10-13, Saffron Finch (1) 2023-10-13, Zebra Dove",1,2023-10-13
21.30258967,-157.95355,"Brown Booby (4) 2022-07-10, Red-footed Booby (2) 2020-02-04, Sooty Tern (2) 2020-02-04, White Tern",4,2022-07-10
21.33032108,-158.0594192,"Common Myna (1) 2023-07-29, Red Avadavat (1) 2023-07-29, Red-vented Bulbul (2) 2023-07-29, Saffron Finch",1,2023-07-29
21.3279416,-157.7026896,"Common Myna (1) 2022-06-10, House Finch (1) 2022-06-10, Spotted Dove (1) 2022-06-10, Zebra Dove",1,2022-06-10
21.34870188,-158.1171627,"Black Swan (1) 2022-06-27, Common Myna (1) 2022-06-27, Hawaiian Coot (1) 2021-03-20, Feral Mallard",1,2022-06-27
21.38517725,-158.1844667,"Brown Booby (1) 2023-03-05, Sooty Tern (1) 2023-03-05, Wedge-tailed Shearwater (1) 2023-03-05, White Tern",1,2023-03-05
21.43025556,-158.164918,"Black-crowned Night Heron (1) 2022-06-22, Black-necked Stilt (3) 2022-06-22, Red-vented Bulbul (1) 2022-06-22, Spotted Dove",1,2022-06-22
21.44851208,-158.2034157,"Brown Booby (1) 2021-01-04, Brown Noddy (1) 2021-01-04, Red-footed Booby (1) 2021-01-04, Saffron Finch",1,2021-03-17
21.44675653,-157.8946265,"Apapane (1) 2020-03-11, Barn Owl (1) 2020-03-11, Oahu Amakihi (1) 2020-03-11, Warbling White-eye",1,2020-03-11
21.45750047,-158.1937157,"Common Myna (1) 2023-05-12, Red-crested Cardinal (1) 2023-05-12, Red-vented Bulbul (1) 2023-05-12, Rock Pigeon",1,2023-05-12
21.47458309,-158.0102356,"Common Myna (1) 2023-07-31, Red-crested Cardinal (1) 2023-07-31, Rose-ringed Parakeet (1) 2019-12-31, Western Cattle Egret",1,2023-07-31
21.48486969,-158.2514832,"Brown Booby (1) 2022-11-09, Brown Noddy (1) 2022-11-09, Wedge-tailed Shearwater (1) 2022-11-09, White Tern",1,2022-11-09
21.50162711,-158.0003993,"Common Myna (1) 2023-07-30, House Sparrow (1) 2023-07-30, Rose-ringed Parakeet (1) 2023-07-30, Western Cattle Egret",1,2024-01-12
21.61053102,-158.0865985,"Indian Peafowl (1) 2023-01-27, Red-whiskered Bulbul (1) 2023-07-08, Sanderling (2) 2023-04-15, Wandering Tattler",1,2023-04-14
21.61972087,-158.1155241,"Brown Booby (1) 2021-06-28, Masked Booby (1) 2021-08-15, Wedge-tailed Shearwater (1) 2021-08-15, Western Cattle Egret",1,2021-06-28
21.63718937,-158.0091305,"Apapane (3) 2021-01-16, Red-vented Bulbul (3) 2021-01-16, Red-whiskered Bulbul (3) 2021-01-16, Warbling White-eye",3,2021-01-16
21.69150255,-158.0280909,"Black-crowned Night Heron (1) 2022-09-21, Common Gallinule (1) 2022-09-21, Hawaiian Coot (1) 2022-09-21, Muscovy Duck",1,2022-09-21
21.25835425,-158.1177017,"Black Noddy (2) 2021-01-14, Great Frigatebird (1) 2021-01-14, Laysan Albatross (1) 2021-01-14, White Tern (1) 2021-01-14, Zebra Dove",1,2021-01-14
21.27499189,-157.8766382,"Brown Booby (3) 2024-01-10, Rock Pigeon (1) 2020-03-05, Sooty Tern (1) 2020-03-05, Wedge-tailed Shearwater (1) 2023-11-07, White Tern",2,2023-11-07
21.29305893,-157.8765009,"Brown Booby (4) 2024-01-10, Red-footed Booby (1) 2023-02-14, Sooty Tern (1) 2023-01-24, Wedge-tailed Shearwater (1) 2023-10-07, White Tern",2,2023-02-14
21.3128047,-158.1655839,"Black Noddy (1) 2019-10-13, Brown Booby (1) 2019-10-13, Masked Booby (1) 2019-10-13, Wedge-tailed Shearwater (1) 2019-10-13, White Tern",1,2019-10-13
21.31156388,-157.9438458,"House Sparrow (2) 2021-12-02, Pacific Golden-Plover (2) 2021-12-02, Spotted Dove (2) 2021-12-02, White Tern",2,2023-06-29
